PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
010001,01-OCT-22,30-SEP-23,As Submitted,348497789,1088905546,912776107
010005,01-OCT-22,30-SEP-23,As Submitted,171795787,118714415,444004520
010007,01-OCT-22,30-SEP-23,As Submitted,22736323,21765983,45920336
010008,01-JAN-23,30-SEP-23,As Submitted,13483242,15043385,21545659
010016,01-JAN-23,31-DEC-23,As Submitted,151107850,969669973,695273360
010018,01-OCT-22,30-SEP-23,As Submitted,51856889,2406192,229052294
010019,01-OCT-22,30-SEP-23,As Submitted,105643291,135896254,336431549
010021,01-OCT-22,30-SEP-23,As Submitted,34366283,21582104,114637850
010022,01-JAN-23,31-DEC-23,As Submitted,20223983,20026955,79218832
010029,01-OCT-22,30-SEP-23,As Submitted,340300950,408553958,612446381
010033,01-OCT-22,30-SEP-23,As Submitted,2221835478,6404864163,4993764952
010034,01-OCT-22,30-SEP-23,As Submitted,16341249,5641414,21061757
010040,01-OCT-22,30-SEP-23,As Submitted,155877445,1432363148,1518011314
010044,01-OCT-22,30-SEP-23,As Submitted,29038177,15184051,46445736
010045,01-OCT-22,30-SEP-23,As Submitted,31559119,20587802,61634549
010046,01-JAN-23,31-DEC-23,As Submitted,108680571,590959181,490238738
010049,01-JAN-23,31-DEC-23,As Submitted,53599857,316318015,717122704
010051,01-OCT-22,30-SEP-23,As Submitted,11185557,8009496,4002830
010052,01-JAN-23,31-DEC-23,As Submitted,14086678,3283889,14388106
010055,01-OCT-22,30-SEP-23,As Submitted,197361610,1364360334,1520068330
010058,01-OCT-22,30-SEP-23,As Submitted,23101098,12349318,20057285
010059,01-OCT-22,30-SEP-23,As Submitted,13900648,3510500,25788747
010061,01-NOV-22,31-OCT-23,As Submitted,61868045,45930286,117154018
010062,01-OCT-22,30-SEP-23,As Submitted,23770257,15662845,16729802
010065,01-JAN-23,31-DEC-23,As Submitted,64278630,32235867,196485420
010069,01-JAN-23,31-DEC-23,As Submitted,15766661,14899233,46240105
010073,01-OCT-22,30-SEP-23,As Submitted,20407593,14314469,22856114
010078,01-OCT-22,30-SEP-23,As Submitted,216595155,736638751,929643951
010083,01-OCT-22,30-SEP-23,As Submitted,124248113,681963305,1341259845
010086,01-JAN-23,31-DEC-23,As Submitted,20640621,25358653,67607095
010087,01-OCT-22,30-SEP-23,As Submitted,320274045,581379051,461128015
010089,01-JAN-23,31-DEC-23,As Submitted,88040082,556840269,733509385
010090,01-JUL-23,30-SEP-23,As Submitted,65110369,118787009,117944051
010092,01-OCT-22,30-SEP-23,As Submitted,557260361,816155593,1106512004
010095,01-OCT-22,30-SEP-23,As Submitted,11899485,2652725,18361199
010097,01-JAN-23,31-DEC-23,As Submitted,15518081,4607980,28953365
010099,01-OCT-22,30-SEP-23,As Submitted,36923294,18319600,119205611
010101,01-JAN-23,31-DEC-23,As Submitted,26333277,108243516,230669494
010102,01-OCT-22,30-SEP-23,As Submitted,5992988,269579,7331872
010103,01-JAN-23,31-DEC-23,As Submitted,178715100,1299387729,776637160
010110,01-JAN-23,31-DEC-23,As Submitted,14694763,26050576,12185269
010112,01-OCT-22,30-SEP-23,As Submitted,41253284,42030491,69687793
010114,01-OCT-22,30-SEP-23,As Submitted,128704955,247252735,358710049
010120,01-OCT-22,30-SEP-23,As Submitted,26597366,10535702,71305143
010125,01-JAN-23,31-DEC-23,As Submitted,20874714,23649329,39936860
010128,01-JAN-23,31-DEC-23,As Submitted,11528259,2845254,23599417
010138,01-JAN-23,31-DEC-23,As Submitted,3874107,3939777,3112651
010139,01-JAN-23,31-DEC-23,As Submitted,304461248,2037840277,1657916308
010144,01-JAN-23,31-DEC-23,As Submitted,216019130,347601728,375106601
010148,01-JAN-23,31-DEC-23,As Submitted,14536251,10146984,23540772
010150,01-OCT-22,30-SEP-23,As Submitted,23033134,39172239,124157473
010158,01-JAN-23,31-DEC-23,As Submitted,51816994,38870470,95379005
010168,01-JAN-23,31-DEC-23,As Submitted,70362697,105670174,141519498
010169,01-OCT-22,30-SEP-23,As Submitted,22307955,13868786,62651284
010174,01-JAN-23,31-DEC-23,As Submitted,17787992,6075933,39269998
010175,01-OCT-22,30-SEP-23,As Submitted,22014525,21374338,33599917
011300,01-OCT-22,30-SEP-23,As Submitted,16583146,10941844,12737917
011302,01-OCT-22,30-SEP-23,As Submitted,,7468513,18361296
011304,01-JAN-23,31-DEC-23,As Submitted,,4836030,27250672
013025,01-JAN-23,31-DEC-23,As Submitted,43302973,73300141,
013028,01-JAN-23,31-DEC-23,As Submitted,27381065,52805519,
013032,01-JAN-23,31-DEC-23,As Submitted,19319289,38883499,588
013300,01-JAN-23,31-DEC-23,As Submitted,,1045129621,561714671
013301,01-OCT-22,30-SEP-23,As Submitted,,239662217,335898976
014012,01-OCT-22,30-SEP-23,Settled,33629149,26742317,11765
014016,24-MAR-23,31-DEC-23,As Submitted,3398869,9066871,
014017,01-OCT-22,30-SEP-23,Settled,16602334,4134924,
014018,01-JAN-23,31-DEC-23,As Submitted,4160470,5667294,
020012,01-JAN-23,31-DEC-23,As Submitted,279543853,309893298,380528426
020017,01-JAN-23,31-DEC-23,As Submitted,234920200,1339735912,722503912
021301,01-JAN-23,31-DEC-23,As Submitted,22073544,9987723,15440136
021302,01-JAN-23,31-DEC-23,As Submitted,29068259,23048831,19833051
021305,01-OCT-22,30-SEP-23,As Submitted,25120252,10814384,12221498
021306,01-JAN-23,31-DEC-23,As Submitted,56303980,34904955,72095123
021307,01-JAN-23,31-DEC-23,As Submitted,12626908,11508954,7327661
021308,01-OCT-22,30-SEP-23,As Submitted,104830211,52739270,84914610
021309,01-OCT-22,30-SEP-23,As Submitted,,13664,116519
021310,01-OCT-22,30-SEP-23,As Submitted,,9070,103212
021312,01-OCT-22,30-SEP-23,As Submitted,,8973440,50920821
021314,01-OCT-22,30-SEP-23,As Submitted,,87425,2095512
022001,01-JAN-23,31-DEC-23,As Submitted,48296478,111423578,
024001,01-JAN-23,31-DEC-23,As Submitted,24317814,61082560,1315029
030002,01-JAN-23,31-DEC-23,As Submitted,1088471107,3168328691,1641961291
030006,01-JAN-23,31-DEC-23,As Submitted,845128469,1792419486,1143737453
030010,01-OCT-22,30-JUN-23,As Submitted,135142936,1138288311,534483804
030011,01-OCT-22,30-JUN-23,As Submitted,179064763,1345134428,718574560
030012,01-JAN-23,31-DEC-23,As Submitted,355753013,710806897,924007668
030013,01-OCT-22,30-SEP-23,As Submitted,565826646,879740770,1856743809
030014,01-JAN-23,31-DEC-23,As Submitted,589331903,1464184372,2824740821
030016,01-JAN-23,31-DEC-23,As Submitted,146101444,303709134,421130492
030036,01-JAN-23,31-DEC-23,As Submitted,649305416,3075215124,1646723195
030061,01-JAN-23,31-DEC-23,As Submitted,378578539,1155725262,782921018
030062,01-JAN-23,31-DEC-23,As Submitted,164576897,234177996,618751102
030064,01-JAN-23,31-DEC-23,As Submitted,1002739039,2175405303,1747239673
030065,01-JAN-23,31-DEC-23,As Submitted,745858572,2305680140,1425224918
030077,01-OCT-22,09-JAN-23,Settled,23439015,6762,209261
030083,01-OCT-22,30-SEP-23,As Submitted,115211843,584229806,681322560
030085,01-OCT-22,30-SEP-23,As Submitted,332755588,1535473263,1557489169
030087,01-JAN-23,31-DEC-23,As Submitted,619878157,2113233855,1790143991
030088,01-JAN-23,31-DEC-23,As Submitted,276447216,763340080,674054860
030089,01-JAN-23,31-DEC-23,As Submitted,622788619,1800450747,1275820759
030092,01-JAN-23,31-DEC-23,As Submitted,377320268,1582239084,1058956533
030093,01-JAN-23,31-DEC-23,As Submitted,336780465,961488976,725730268
030103,01-JAN-23,31-DEC-23,As Submitted,1120609057,1829788973,1830447522
030105,01-JAN-23,31-DEC-23,As Submitted,133576417,530600265,278067021
030107,01-JAN-23,31-DEC-23,As Submitted,43854806,86705109,179796891
030108,01-JAN-23,31-DEC-23,As Submitted,100792223,70948941,446241594
030111,01-JAN-23,31-DEC-23,As Submitted,181017442,325193601,445979477
030112,01-JAN-23,31-DEC-23,As Submitted,28359641,48302248,125976594
030114,01-OCT-22,30-SEP-23,As Submitted,135079434,466582844,840950136
030115,01-JAN-23,31-DEC-23,As Submitted,363564505,999726265,896698975
030117,01-DEC-22,30-NOV-23,As Submitted,40742146,106529908,427197175
030122,01-JAN-23,31-DEC-23,As Submitted,541176109,896855914,1539612927
030123,01-JAN-23,31-DEC-23,As Submitted,192243245,568079054,687891934
030130,01-JAN-23,31-DEC-23,As Submitted,99892310,222785839,300224428
030131,01-JAN-23,31-DEC-23,As Submitted,63526872,125373297,236130076
030134,01-JAN-23,31-DEC-23,As Submitted,19374170,24761462,105813932
030136,01-JAN-23,31-DEC-23,As Submitted,68763632,18923867,656706157
030138,01-OCT-22,30-SEP-23,As Submitted,162880478,54989043,749849640
030139,01-JAN-23,31-DEC-23,As Submitted,113778814,119594163,670004834
030146,01-JAN-23,31-DEC-23,As Submitted,118632587,219969661,457721602
030147,01-JAN-23,31-DEC-23,As Submitted,92872070,170926287,239082387
030148,01-OCT-22,30-SEP-23,As Submitted,98535431,301594602,693942012
030152,01-JAN-23,31-DEC-23,As Submitted,11177245,11403389,240374234
030153,14-OCT-22,31-JAN-23,Settled,4663831,6682868,12515778
030154,19-JAN-23,31-DEC-23,As Submitted,12100386,27901138,251523082
031301,01-JAN-23,31-DEC-23,As Submitted,,4852646,49013103
031302,01-JAN-23,31-DEC-23,As Submitted,19343024,3433879,28258064
031304,01-JAN-23,31-DEC-23,As Submitted,,5224015,33393177
031305,01-OCT-22,30-SEP-23,As Submitted,,4840,136953
031307,01-OCT-22,30-SEP-23,As Submitted,,2522,210144
031308,01-OCT-22,30-SEP-23,As Submitted,,9900,1929774
031309,01-OCT-22,30-SEP-23,As Submitted,,11654654,21665191
031311,01-OCT-22,30-SEP-23,As Submitted,,28486915,93176588
031313,01-OCT-22,30-JUN-23,As Submitted,,41103579,152498913
031314,01-JAN-23,31-DEC-23,As Submitted,,66797977,154911649
031315,01-JAN-23,31-DEC-23,As Submitted,,9421450,46241388
031317,01-OCT-22,30-SEP-23,As Submitted,,21221022,122895941
031318,01-JAN-23,31-DEC-23,As Submitted,,22340814,81502111
031319,01-JAN-23,31-DEC-23,As Submitted,,19534743,145254533
031320,10-JAN-23,30-SEP-23,As Submitted,,12194,524550
032001,01-DEC-22,30-NOV-23,As Submitted,23399353,251454956,
033038,01-JAN-23,31-DEC-23,As Submitted,24537931,116913109,
033039,01-JAN-23,31-DEC-23,As Submitted,16631244,42097583,1387739
033040,01-JAN-23,31-DEC-23,As Submitted,21634870,66258648,
033044,06-JAN-23,31-DEC-23,As Submitted,13644264,24374757,
033045,15-APR-23,31-JUL-23,As Submitted,3218445,4249355,
033302,01-JAN-23,31-DEC-23,As Submitted,,2090953551,1620622950
034004,01-JAN-23,31-DEC-23,As Submitted,45001880,132022627,3776377
034022,01-JAN-23,31-DEC-23,As Submitted,31651542,102852610,8635994
034023,01-OCT-22,30-SEP-23,Settled,15440828,6920362,11414938
034024,01-JAN-23,31-DEC-23,As Submitted,30228094,47824850,4817040
034026,01-JAN-23,31-DEC-23,As Submitted,29350994,86356299,5921625
034028,01-JAN-23,31-DEC-23,As Submitted,38368825,58883125,3626560
034029,01-JAN-23,31-DEC-23,As Submitted,34692462,101213894,4669270
034032,01-JAN-23,31-DEC-23,As Submitted,48444944,138691345,15459021
034034,01-JAN-23,31-DEC-23,As Submitted,20159032,50967494,213466
034035,01-JAN-23,31-DEC-23,As Submitted,7289653,16951900,
034038,01-JAN-23,31-DEC-23,As Submitted,16944891,44845000,
040002,01-JAN-23,31-DEC-23,As Submitted,33272009,20738713,55479733
040004,01-JAN-23,31-DEC-23,As Submitted,343951295,971393521,869273436
040014,01-OCT-22,30-SEP-23,As Submitted,205191053,278346799,425483336
040015,01-JAN-23,31-DEC-23,As Submitted,29171707,18063548,55166456
040018,01-JAN-23,31-DEC-23,As Submitted,10425920,2288282,74228059
040019,01-OCT-22,30-SEP-23,As Submitted,30283195,48461163,116176088
040020,01-OCT-22,30-SEP-23,As Submitted,435109181,532869306,807150022
040022,01-NOV-22,31-OCT-23,As Submitted,282352900,1318334482,1214941115
040027,01-JAN-23,31-DEC-23,As Submitted,221726446,280051220,456517558
040029,01-JAN-23,31-DEC-23,As Submitted,186180979,406519067,628265765
040036,01-JAN-23,31-DEC-23,As Submitted,223241688,688421401,498834678
040047,01-OCT-22,31-AUG-23,As Submitted,18637974,7948488,24325946
040050,01-OCT-22,30-SEP-23,As Submitted,31618031,28204063,104216243
040051,01-APR-23,02-DEC-23,As Submitted,31606585,31778734,49213728
040055,01-JAN-23,31-DEC-23,As Submitted,264809403,839778763,984629327
040067,01-OCT-22,30-SEP-23,As Submitted,28979528,12088023,51609479
040069,01-JAN-23,31-DEC-23,As Submitted,27844482,27424340,60019482
040072,01-JAN-23,31-DEC-23,As Submitted,28100419,10937279,87681701
040076,01-JAN-23,31-DEC-23,As Submitted,20005057,30586044,58188020
040085,01-JAN-23,04-DEC-23,As Submitted,15785765,3121563,55800909
040114,01-JAN-23,31-DEC-23,As Submitted,561384313,1968780475,828761533
040118,01-OCT-22,30-SEP-23,As Submitted,211134441,530606500,861060339
040119,01-OCT-22,30-SEP-23,As Submitted,175409844,255138357,387567402
040132,01-JAN-23,31-DEC-23,Settled,7759905,12663460,3213151
040134,01-OCT-22,30-SEP-23,As Submitted,173958175,249995814,377805781
040147,01-JAN-23,31-DEC-23,As Submitted,69808635,76607931,216120999
040153,01-OCT-22,30-SEP-23,As Submitted,12824102,49405825,53736451
040154,01-JAN-23,31-DEC-23,As Submitted,80497126,188267473,225237581
040156,01-OCT-22,30-SEP-23,As Submitted,21660545,10888625,180686299
040161,01-OCT-22,30-SEP-23,As Submitted,57751109,87155306,106983842
040162,10-APR-23,06-AUG-23,Settled,7589601,638910,5154331
040164,09-JUN-23,30-SEP-23,Settled,6529278,4568829,14016413
041302,01-JAN-23,31-DEC-23,As Submitted,18758564,18371916,42031684
041304,01-JAN-23,30-NOV-23,As Submitted,,798770,12780876
041306,01-JAN-23,31-DEC-23,As Submitted,,2234962,8756540
041307,01-OCT-22,30-SEP-23,As Submitted,,4413055,22977299
041310,01-OCT-22,30-SEP-23,As Submitted,,9661925,48335972
041311,01-OCT-22,30-SEP-23,As Submitted,,10885258,55956514
041312,01-JAN-23,31-DEC-23,As Submitted,,7462384,87020921
041316,01-JAN-23,31-DEC-23,As Submitted,,2725056,24358997
041317,01-JAN-23,31-DEC-23,As Submitted,,1397322,20664504
041321,01-JAN-23,31-DEC-23,As Submitted,,17490888,76893714
041323,01-OCT-22,30-SEP-23,As Submitted,,18652148,53311538
041327,01-OCT-22,30-SEP-23,As Submitted,27611590,11732276,33434542
041330,01-JAN-23,31-DEC-23,As Submitted,,11698171,38769489
041331,01-JAN-23,31-DEC-23,As Submitted,,25884185,97478496
041332,01-OCT-22,30-SEP-23,As Submitted,27238215,29594049,44751679
041333,07-AUG-23,31-DEC-23,Amended,,1191363,5944538
042011,01-OCT-22,30-SEP-23,Settled,6716527,16186787,1282906
042012,01-JAN-23,31-DEC-23,As Submitted,13098762,63080617,
043026,01-JAN-23,31-DEC-23,As Submitted,38101617,89932683,64766309
043029,01-JAN-23,31-DEC-23,As Submitted,25315003,63497956,1530
043032,01-JAN-23,31-DEC-23,As Submitted,24659121,51229414,765
043033,01-JAN-23,31-DEC-23,As Submitted,6178316,8736519,1758
043034,01-NOV-22,31-OCT-23,As Submitted,4553959,11308612,
043036,01-JAN-23,28-FEB-23,As Submitted,2795600,2948357,34172
043036,01-MAR-23,31-DEC-23,As Submitted,10991706,19201349,68654
043037,01-JAN-23,31-DEC-23,As Submitted,15221340,45902510,
044004,01-JAN-23,31-DEC-23,As Submitted,20665238,49892219,545400
044005,01-JAN-23,31-DEC-23,As Submitted,17958154,43411932,2305380
044006,01-JAN-23,31-DEC-23,As Submitted,17300320,42246400,1110295
044007,01-JAN-23,31-DEC-23,As Submitted,13270348,45657607,2393952
044019,01-JAN-23,31-DEC-23,Settled,13274655,30327000,1607713
044020,01-JAN-23,31-DEC-23,As Submitted,11888650,29232521,490080
044022,01-JAN-23,31-DEC-23,As Submitted,14150489,50006233,699930
050002,01-OCT-22,30-SEP-23,As Submitted,116060666,332779084,128867540
050007,01-JAN-23,31-DEC-23,As Submitted,621321675,1063722995,1163489177
050008,01-JAN-23,31-DEC-23,As Submitted,222780554,509872426,346813944
050013,01-JAN-23,31-DEC-23,As Submitted,183851502,580930173,706792563
050014,01-JAN-23,31-DEC-23,As Submitted,94877607,149249432,229923894
050024,01-JAN-23,31-DEC-23,As Submitted,108165454,294379350,86943465
050026,01-OCT-22,30-SEP-23,As Submitted,877684138,2989832164,1850131566
050030,01-DEC-22,30-NOV-23,As Submitted,286384054,433678651,600833843
050036,01-JAN-23,31-DEC-23,As Submitted,483907930,1493531401,1105198476
050043,01-JAN-23,31-DEC-23,As Submitted,446867072,1245586589,720591015
050047,01-JAN-23,31-DEC-23,As Submitted,920972953,1807672310,1113998108
050055,01-JAN-23,31-DEC-23,As Submitted,211154310,386116068,269804628
050058,01-JAN-23,31-DEC-23,As Submitted,250686279,891565728,448801729
050063,01-JAN-23,31-DEC-23,As Submitted,389966638,1091646439,393211629
050070,01-JAN-23,31-DEC-23,As Submitted,260199382,482877331,649865475
050071,01-JAN-23,31-DEC-23,As Submitted,1052804536,2181316813,2064512283
050072,01-JAN-23,31-DEC-23,As Submitted,675950451,1118414918,1509464229
050073,01-JAN-23,31-DEC-23,As Submitted,542912301,874601447,1209124945
050075,01-JAN-23,31-DEC-23,As Submitted,1116395933,2188554568,2054193704
050076,01-JAN-23,31-DEC-23,As Submitted,648345729,1381077450,921411149
050077,01-OCT-22,30-SEP-23,As Submitted,945754994,3635213555,1949588032
050078,01-JAN-23,31-DEC-23,As Submitted,224049016,628002260,322201735
050089,01-JAN-23,31-DEC-23,As Submitted,219283586,934157543,404059904
050091,01-JAN-23,31-DEC-23,As Submitted,57002680,260405832,173228208
050099,01-JAN-23,31-DEC-23,As Submitted,391725899,2026708864,1646215007
050100,01-OCT-22,30-SEP-23,As Submitted,1116120012,3939571928,2660585752
050101,01-JAN-23,31-DEC-23,As Submitted,157077512,325312358,315593699
050103,01-JAN-23,31-DEC-23,As Submitted,465963171,2305095884,1265671914
050104,01-JAN-23,31-DEC-23,As Submitted,290387322,1303794038,405531667
050116,01-JAN-23,31-DEC-23,As Submitted,411134677,2354989635,1112699156
050121,01-JAN-23,31-DEC-23,As Submitted,309165310,529275669,1104924243
050125,01-JAN-23,31-DEC-23,As Submitted,353150517,3535947531,1672032682
050126,01-JAN-23,31-DEC-23,As Submitted,306412725,716316769,313074386
050127,01-JAN-23,31-DEC-23,As Submitted,166718095,388086590,592756077
050131,01-JAN-23,31-DEC-23,As Submitted,93310579,150358983,231588815
050133,01-JAN-23,31-DEC-23,As Submitted,423781080,1170314131,927371997
