hosp10 REPORT COUNTS  BY STATUS BY YEAR FOR THE QUARTER ENDING 2024-06-30                                                           
Year,          Amended,       As Submitted,  Reopened,      Settled,       Settled w/Audit,Sum                                      
2010,          29,            80,            849,           1259,          106,           2323                                      
2011,          64,            187,           2522,          3156,          221,           6150                                      
2012,          46,            96,            2708,          3101,          276,           6227                                      
2013,          55,            44,            2516,          3404,          229,           6248                                      
2014,          26,            17,            2367,          3621,          219,           6250                                      
2015,          30,            22,            1974,          3994,          237,           6257                                      
2016,          27,            33,            1652,          4182,          317,           6211                                      
2017,          38,            43,            1224,          4531,          338,           6174                                      
2018,          116,           125,           933,           4629,          357,           6160                                      
2019,          240,           317,           524,           4812,          228,           6121                                      
2020,          589,           833,           105,           4463,          69,            6059                                      
2021,          1214,          2546,          23,            2252,          18,            6053                                      
2022,          797,           4666,          3,             593,           5,             6064                                      
2023,          32,            3060,          0,             83,            0,             3175                                      
2024,          0,             6,             0,             1,             0,             7                                         
Sum,           3303,          12075,         17400,         44081,         2620,          79479                                     
