HOSP10 RECORD COUNTS BY YEAR FOR THE QUARTER ENDING 2024-06-30 [HOSP10.HOSP10]  
FY,       RPT count,  ALPHA count,    NMRC count,     ROLLUP count              
2010 ,         2323,      1361025,      7480896,       852243                   
2011 ,         6150,      3571992,     19561205,      2373712                   
2012 ,         6227,      3628193,     19894469,      2391074                   
2013 ,         6248,      3699246,     20165435,      2408546                   
2014 ,         6250,      3705320,     20091233,      2604922                   
2015 ,         6257,      3716902,     20065859,      2700832                   
2016 ,         6211,      3731797,     19979312,      2481532                   
2017 ,         6174,      3728993,     20009079,      3306458                   
2018 ,         6160,      3735950,     20077615,      5768891                   
2019 ,         6121,      3746516,     19973288,      5730188                   
2020 ,         6059,      3733631,     19712066,      5326222                   
2021 ,         6053,      3713589,     19592039,      5466830                   
2022 ,         6064,      3681600,     19418030,      2220722                   
2023 ,         3175,      1942805,     10140228,      1012045                   
2024 ,            7,         2876,        11619,         1315                   
TOTAL,        79479,     47700435,    256172373,     44645532                   
