PROVIDER_NUMBER,FYB,FYE,STATUS,HOSPITAL_Name,Street_Addr,Po_BOx,City,State,Zip_Code,County,IME1,IME2,IME3,DSH1,DSH2,DSH3,DSH_SHARE_PERCENTAGE,GME_PART_A,GME_PART_B,TOTAL_HOSPITAL_BEDS,TOTAL_HOSPITAL_BED_DAYS_AVAILABLE,TOTAL_HOSPITAL_MEDICARE_DAYS,TOTAL_HOSPITAL_MEDICAID_DAYS,TOTAL_HOSPITAL_DAYS,INTERNS_AND_RESIDENTS,TOTAL_HOSPITAL_EMPLOYEES_ON_PAYROL,TOTAL_HOSPITAL_NON_PAID_WORKERS,TOTAL_HOSPITAL_MEDICARE_DISCHARGES,TOTAL_HOSPITAL_MEDICAID_DISCHARGES,TOTAL_HOSPITAL_DISCHARGES,MEDICAID_HMO_DISCHARGES,MEDICAID_HMO_IPF_SUBPROVIDER,MEDICAID_HMO_IRF_SUBPROVIDER,MEDICAID_IPF_SUBPROVIDER,MEDICAID_IRF_SUBPROVIDER,TOTAL_DISCHARGES_SUBPROVIDER_IPF,TOTAL_DISCHARGES_SUBPROVIDER_IRF
010001,01-OCT-22,30-SEP-23,As Submitted,SOUTHEAST HEALTH MEDICAL CENTER         ,1108 ROSS CLARK CIRCLE                  ,6987                                    ,DOTHAN                                  ,AL                                      ,36301                                   ,HOUSTON                                 ,3691095,,,1386232,,,.1208,1924175,997994,345,125925,23237,14215,102930,56.61,2438,,4028,2221,18800,1480,,,,,,
010005,01-OCT-22,30-SEP-23,As Submitted,MARSHALL MEDICAL CENTERS SOUTH          ,2505 U.S. HIGHWAY 431                   ,,BOAZ                                    ,AL                                      ,35957-                                  ,MARSHALL                                ,,,,449817,,,.1503,,,182,66430,7768,8765,34258,,1360.93,,1419,1583,6846,,,,,,,
010007,01-OCT-22,30-SEP-23,As Submitted,MIZELL MEMORIAL HOSPITAL                ,702 MAIN STREET                         ,429                                     ,OPP                                     ,AL                                      ,36462-                                  ,COVINGTON                               ,,,,67626,,,.1035,,,45,16425,2006,725,5875,,166.89,,351,190,1258,26,,,11,,195,
010008,01-JAN-23,30-SEP-23,As Submitted,CRENSHAW COMMUNITY HOSPITAL             ,CRENSHAW COMMUNITY HOSPITAL             ,101 HOSPITAL CIRCLE                     ,LUVERNE                                 ,AL                                      ,36049                                   ,CRENSHAW                                ,,,,16706,,,.12,,,29,7917,486,294,1410,,84.94,,96,64,290,,,,195,,391,
010016,01-JAN-23,31-DEC-23,As Submitted,SHELBY BAPTIST MEDICAL CENTER           ,1000 FIRST STREET NORTH                 ,,ALABASTER                               ,AL                                      ,35007                                   ,SHELBY                                  ,,,,,,,,,,212,77380,7882,3212,36510,,530.14,,1405,510,7249,,,,125,,597,
010018,01-OCT-22,30-SEP-23,As Submitted,CALLAHAN EYE FOUNDATION HOSP            ,1720 UNIVERSITY BOULEVARD               ,,BIRMINGHAM                              ,AL                                      ,35233-                                  ,JEFFERSON                               ,49751,,,,,,,9053,258699,6,2190,46,12,262,9.83,274.42,,14,4,91,,,,,,,
010019,01-OCT-22,30-SEP-23,As Submitted,HELEN KELLER HOSPITAL                   ,1300 SOUTH MONTGOMERY AVENUE            ,610                                     ,SHEFFIELD                               ,AL                                      ,35660-                                  ,COLBERT                                 ,,,,320724,,,.1175,,,178,64970,7520,5348,25933,,698.28,,1507,1889,6389,,,,,,,
010021,01-OCT-22,30-SEP-23,As Submitted,DALE MEDICAL CENTER                     ,126 HOSPITAL                            ,,OZARK                                   ,AL                                      ,36360-                                  ,DALE                                    ,,,,52615,,,.12,,,77,28105,1086,1696,6458,,272.1,,208,268,1181,,,,,,114,
010022,01-JAN-23,31-DEC-23,As Submitted,CHEROKEE MEDICAL CENTER                 ,400 NORTHWOOD DRIVE                     ,,CENTRE                                  ,AL                                      ,35960-                                  ,CHEROKEE                                ,,,,21857,,,.12,,,45,16425,580,1947,4465,,76.06,,132,391,985,,,,,,,
010029,01-OCT-22,30-SEP-23,As Submitted,EAST ALABAMA MEDICAL CENTER             ,2000 PEPPERELL PKWY                     ,,OPELIKA                                 ,AL                                      ,36802-                                  ,LEE                                     ,979136,,,962791,,,.1614,1013921,467612,265,96725,14721,15969,74099,21.68,2105.4,,2323,2543,12527,3228,,,,,,
010033,01-OCT-22,30-SEP-23,As Submitted,UNIVERSITY OF ALABAMA HOSPITAL          ,619 SOUTH 19TH STREET                   ,,BIRMINGHAM                              ,AL                                      ,35233                                   ,JEFFERSON                               ,18922805,,,5636556,,,.1745,8532628,4115141,1149,419382,57476,84184,378946,626.17,11410.68,,8687,9115,47857,,,,815,250,2452,1134
010034,01-OCT-22,30-SEP-23,As Submitted,COMMUNITY HOSPITAL INC.                 ,805 FRIENDSHIP DRIVE                    ,,TALLASSEE                               ,AL                                      ,36078                                   ,ELMORE                                  ,,,,21074,,,.12,,,37,13505,724,336,2416,,125.84,,116,72,470,,,,6,,107,
010040,01-OCT-22,30-SEP-23,As Submitted,GADSDEN REGIONAL MEDICAL CENTER         ,1007 GOODYEAR AVENUE                    ,,GADSDEN                                 ,AL                                      ,35903                                   ,ETOWAH                                  ,320958,1768,,555229,2611,,.1406,314869,136243,175,72995,8823,8236,43720,8.02,803.92,,1662,1487,9016,,,,10,,305,
010044,01-OCT-22,30-SEP-23,As Submitted,MARION REGIONAL MEDICAL CENTER          ,1256 MILITARY ST SOUTH                  ,,HAMILTON                                ,AL                                      ,35570-                                  ,MARION                                  ,,,,5654,,,.0328,,,36,13140,1639,51,2844,,115.15,,110,19,259,4,,,,,,
010045,01-OCT-22,30-SEP-23,As Submitted,FAYETTE MEDICAL CENTER                  ,1653 TEMPLE AVENUE NORTH                ,,FAYETTE                                 ,AL                                      ,35555-                                  ,FAYETTE                                 ,,,,19762,,,.059,,,35,12775,1538,192,2884,,170.59,,206,77,548,,,,,,,
010046,01-JAN-23,31-DEC-23,As Submitted,RIVERVIEW REGIONAL MEDICAL CENTER       ,600 SOUTH 3RD STREET                    ,,GADSDEN                                 ,AL                                      ,35901                                   ,ETOWAH                                  ,,,,214798,,,.051,,,256,93440,8391,3461,34402,,572.43,,1825,752,7748,7,,,28,,275,
010049,01-JAN-23,31-DEC-23,As Submitted,MEDICAL CENTER ENTERPRISE               ,400 NORTH EDWARDS STREET                ,,ENTERPRISE                              ,AL                                      ,36330-                                  ,COFFEE                                  ,,,,160625,,,.12,,,89,32485,2966,3074,14536,,347.46,,672,790,3323,,,,,,,
010051,01-OCT-22,30-SEP-23,As Submitted,GREENE COUNTY HOSPITAL                  ,509 WILSON AVENUE                       ,,EUTAW                                   ,AL                                      ,35462                                   ,GREENE                                  ,,,,1541,,,.12,,,20,7300,69,1226,1878,,53.11,,12,201,281,,,,,,,
010052,01-JAN-23,31-DEC-23,As Submitted,LAKE MARTIN COMMUNITY HOSPITAL          ,1231 SOUTH STREET                       ,,DADEVILLE                               ,AL                                      ,36853                                   ,TALLAPOOSA                              ,,,,11716,,,.0841,,,46,16790,346,309,1670,,63.65,,105,69,500,,,,,,,
